Date,Open,High,Low,Close,Adj Close,Volume
2018-08-08,206.050003,207.809998,204.520004,207.250000,206.525696,22525500
2018-08-09,207.279999,209.779999,207.199997,208.880005,208.149994,23469200
2018-08-10,207.360001,209.100006,206.669998,207.529999,207.529999,24611200
2018-08-13,207.699997,210.949997,207.699997,208.869995,208.869995,25869100
2018-08-14,210.160004,210.559998,208.259995,209.750000,209.750000,20748000
2018-08-15,209.220001,210.740005,208.330002,210.240005,210.240005,28807600
2018-08-16,211.750000,213.809998,211.470001,213.320007,213.320007,28500400
2018-08-17,213.440002,217.949997,213.160004,217.580002,217.580002,35427000
2018-08-20,218.100006,219.179993,215.110001,215.460007,215.460007,30287700
2018-08-21,216.800003,217.190002,214.029999,215.039993,215.039993,26159800
2018-08-22,214.100006,216.360001,213.839996,215.050003,215.050003,19018100
2018-08-23,214.649994,217.050003,214.600006,215.490005,215.490005,18883200
2018-08-24,216.600006,216.899994,215.110001,216.160004,216.160004,18476400
2018-08-27,217.149994,218.740005,216.330002,217.940002,217.940002,20525100
2018-08-28,219.009995,220.539993,218.919998,219.699997,219.699997,22776800
2018-08-29,220.149994,223.490005,219.410004,222.979996,222.979996,27254800
2018-08-30,223.250000,228.259995,222.399994,225.029999,225.029999,48793800
2018-08-31,226.509995,228.869995,226.000000,227.630005,227.630005,43340100
2018-09-04,228.410004,229.179993,226.630005,228.360001,228.360001,27390100
2018-09-05,228.990005,229.669998,225.100006,226.869995,226.869995,33333000
2018-09-06,226.229996,227.350006,221.300003,223.100006,223.100006,34290000
2018-09-07,221.850006,225.369995,220.710007,221.300003,221.300003,37515200
