Date,Open,High,Low,Close,Volume
01/02/1968,100.0000,100.0000,100.000,100.0000,100
01/03/1968,100.0197,100.0197,100.020,100.0197,100
01/04/1968,100.0395,100.0395,100.039,100.0395,100
01/05/1968,100.0592,100.0592,100.059,100.0592,100
01/08/1968,100.0790,100.0790,100.079,100.0790,100
01/09/1968,100.0987,100.0987,100.099,100.0987,100
01/10/1968,100.1185,100.1185,100.118,100.1185,100
01/11/1968,100.1382,100.1382,100.138,100.1382,100
01/12/1968,100.1580,100.1580,100.158,100.1580,100
01/15/1968,100.1777,100.1777,100.178,100.1777,100
01/16/1968,100.1975,100.1975,100.197,100.1975,100
01/17/1968,100.2173,100.2173,100.217,100.2173,100
01/18/1968,100.2370,100.2370,100.237,100.2370,100
01/19/1968,100.2568,100.2568,100.257,100.2568,100
01/22/1968,100.2766,100.2766,100.277,100.2766,100
01/23/1968,100.2964,100.2964,100.296,100.2964,100
01/24/1968,100.3162,100.3162,100.316,100.3162,100
01/25/1968,100.3360,100.3360,100.336,100.3360,100
01/26/1968,100.3558,100.3558,100.356,100.3558,100
01/29/1968,100.3756,100.3756,100.376,100.3756,100
01/30/1968,100.3954,100.3954,100.395,100.3954,100
01/31/1968,100.4152,100.4152,100.415,100.4152,100
02/01/1968,100.6804,100.6804,100.680,100.6804,100
02/02/1968,100.8644,100.8644,100.864,100.8644,100
02/05/1968,100.8704,100.8704,100.870,100.8704,100
02/06/1968,100.8810,100.8810,100.881,100.8810,100
02/07/1968,100.8946,100.8946,100.895,100.8946,100
02/08/1968,100.9102,100.9102,100.910,100.9102,100
02/09/1968,100.9272,100.9272,100.927,100.9272,100
02/13/1968,100.9451,100.9451,100.945,100.9451,100
02/14/1968,100.9637,100.9637,100.964,100.9637,100
02/15/1968,100.9826,100.9826,100.983,100.9826,100
02/16/1968,101.0018,101.0018,101.002,101.0018,100
02/19/1968,101.0212,101.0212,101.021,101.0212,100
02/20/1968,101.0407,101.0407,101.041,101.0407,100
02/21/1968,101.0603,101.0603,101.060,101.0603,100
02/23/1968,101.0799,101.0799,101.080,101.0799,100
02/26/1968,101.0996,101.0996,101.100,101.0996,100
02/27/1968,101.1193,101.1193,101.119,101.1193,100
02/28/1968,101.1390,101.1390,101.139,101.1390,100
02/29/1968,101.1588,101.1588,101.159,101.1588,100
